epoch,phase,train_loss,val_mse,val_cos,val_norm_gt,val_norm_pred,lr,val_rmse_j1,val_rmse_j2,val_rmse_j3,val_rmse_j4,val_rmse_j5,val_rmse_j6,val_rmse_j7
0,head_only,0.001211963981509091,0.00013894274514833732,0.20317932963371277,0.019362175837159157,0.025144394487142563,0.001,0.010822338983416557,0.011262805201113224,0.011450852267444134,0.012590877711772919,0.012663342989981174,0.009843857027590275,0.013480040244758129
1,head_only,0.00010232754896699996,0.00010270379930033445,0.26854875683784485,0.019362175837159157,0.02059715799987316,0.001,0.010066320188343525,0.009054240770637989,0.009778294712305069,0.009652609936892986,0.011071234941482544,0.00839965883642435,0.012397663667798042
2,head_only,7.985842762275427e-05,8.632420363537536e-05,0.3201114535331726,0.019362175837159157,0.01890379935503006,0.001,0.008640614338219166,0.008541305549442768,0.008797471411526203,0.008857452310621738,0.010230166837573051,0.007423041388392448,0.01187634002417326
3,head_only,6.879035581000973e-05,7.900085042205614e-05,0.35680386424064636,0.019362175837159157,0.017677579075098038,0.001,0.009006024338304996,0.0072284284979105,0.008689584210515022,0.008355977013707161,0.0095859095454216,0.008099918253719807,0.010808226652443409
4,head_only,6.233635873683654e-05,7.325828827838468e-05,0.36371859908103943,0.019362175837159157,0.01632247120141983,0.001,0.009042958728969097,0.0070902155712246895,0.00804954394698143,0.008273272775113583,0.009705052711069584,0.006847538985311985,0.01031710859388113
5,head_only,5.154268891883789e-05,6.911279775227445e-05,0.43944740295410156,0.019362175837159157,0.018161972984671593,0.001,0.007953548803925514,0.0063711972907185555,0.007702149450778961,0.007603026926517487,0.008847502991557121,0.009021726436913013,0.010155762545764446
6,head_only,4.8459759110018834e-05,6.815708787576026e-05,0.4335562288761139,0.019362175837159157,0.017380302771925926,0.001,0.007298923563212156,0.00638721464201808,0.009617204777896404,0.007013124413788319,0.00837784819304943,0.007627165876328945,0.010629783384501934
7,head_only,4.570008378981709e-05,6.134926990298447e-05,0.4661836326122284,0.019362175837159157,0.016581302508711815,0.001,0.00814887136220932,0.005883968900889158,0.007748723495751619,0.007433369755744934,0.008327093906700611,0.007213119883090258,0.009578747674822807
8,finetune,3.167655884827508e-05,4.526440449271164e-05,0.6254507303237915,0.019362175837159157,0.0185774527490139,0.0001,0.005435130558907986,0.004837898537516594,0.008467329666018486,0.005934435874223709,0.008868220262229443,0.005648846738040447,0.006814463529735804
9,finetune,1.3080150610817483e-05,3.379797621389211e-05,0.7210068702697754,0.019362175837159157,0.01699260249733925,0.0001,0.00508530531078577,0.004050839692354202,0.006611797492951155,0.005370697006583214,0.006499038077890873,0.006112605798989534,0.006492650136351585
10,finetune,9.74424871343928e-06,3.553005873111462e-05,0.6770538091659546,0.019362175837159157,0.015198258683085442,0.0001,0.006802201736718416,0.004484475590288639,0.006182342302054167,0.005576723720878363,0.006417996250092983,0.0055430177599191666,0.006410383619368076
11,finetune,6.710193464192114e-06,3.461167737697773e-05,0.695629358291626,0.019362175837159157,0.016841867938637733,0.0001,0.005775075405836105,0.004499027505517006,0.006926064379513264,0.005680530797690153,0.006528795231133699,0.005375365726649761,0.006077044643461704
12,finetune,5.856153424686234e-06,3.402467385454923e-05,0.7114939093589783,0.019362175837159157,0.016827797517180443,0.0001,0.005878060590475798,0.0042173657566308975,0.006427764426916838,0.005321313627064228,0.006287633907049894,0.006185472011566162,0.006197419948875904
13,finetune,5.4848229546610385e-06,3.23030716154372e-05,0.7510727047920227,0.019362175837159157,0.017422214150428772,0.0001,0.00497079873457551,0.004186284728348255,0.006616783328354359,0.005355300381779671,0.006277558859437704,0.00562252476811409,0.006356578785926104
14,finetune,5.268832088906242e-06,3.332768965932328e-05,0.7203148007392883,0.019362175837159157,0.016522884368896484,0.0001,0.005886021535843611,0.004342630505561829,0.006293969228863716,0.005256593227386475,0.006246703211218119,0.006087925285100937,0.006038226652890444
15,finetune,4.042518462117824e-06,3.1422435096274024e-05,0.7478185892105103,0.019362175837159157,0.016853109002113342,0.0001,0.005150810349732637,0.004117157775908709,0.006340338382869959,0.005717609543353319,0.006206587888300419,0.005354167427867651,0.006032861769199371
16,finetune,3.872317447844423e-06,3.280918400767925e-05,0.7350161075592041,0.019362175837159157,0.016662882640957832,0.0001,0.005587827879935503,0.004166816361248493,0.006378414575010538,0.005171214696019888,0.006414466537535191,0.005990985315293074,0.006051049567759037
17,finetune,3.7193009374037167e-06,3.125059550302643e-05,0.7416974306106567,0.019362175837159157,0.015654994174838066,0.0001,0.005693668033927679,0.004165009129792452,0.006258310284465551,0.005396345630288124,0.0061103543266654015,0.005260640289634466,0.00597421545535326
18,finetune,3.90762003875373e-06,3.1593670102391884e-05,0.7330598831176758,0.019362175837159157,0.015661586076021194,0.0001,0.005387024488300085,0.0047215428203344345,0.006188522092998028,0.005188960116356611,0.006312509533017874,0.0054810200817883015,0.005893235094845295
19,finetune,4.249644320978028e-06,3.0168467835059324e-05,0.7636754512786865,0.019362175837159157,0.015700558200478554,0.0001,0.005103528965264559,0.004431991837918758,0.00607573427259922,0.005277944728732109,0.005959324538707733,0.00523283751681447,0.006150067318230867
20,finetune,3.2173582481825187e-06,3.160259849178375e-05,0.7393109202384949,0.019362175837159157,0.015286847949028015,0.0001,0.0058886343613266945,0.004238517489284277,0.006135118193924427,0.0053656017407774925,0.006058640778064728,0.005360281560570002,0.006058716680854559
21,finetune,3.3056779797668984e-06,3.080567923503924e-05,0.7575833797454834,0.019362175837159157,0.016448980197310448,0.0001,0.004992378409951925,0.0041819121688604355,0.006158226635307074,0.005123448558151722,0.006062851753085852,0.006003172602504492,0.006021443754434586
22,finetune,2.953464653226798e-06,3.0690435283393943e-05,0.7544450163841248,0.019362175837159157,0.015424354933202267,0.0001,0.005177787970751524,0.0041787694208323956,0.0063307881355285645,0.005189188756048679,0.006210824474692345,0.005386650562286377,0.005997044034302235
23,finetune,3.0488496872487887e-06,3.054908590375996e-05,0.7489476203918457,0.019362175837159157,0.015628235414624214,0.0001,0.005251260008662939,0.0042040362022817135,0.006035343743860722,0.005027372855693102,0.0063966442830860615,0.005501825362443924,0.00597553001716733
24,finetune,2.0844217694513186e-06,3.0056652918630584e-05,0.7647099494934082,0.019362175837159157,0.015688465908169746,5e-05,0.005254328716546297,0.004082308150827885,0.006123274099081755,0.005065797828137875,0.006097674369812012,0.005515091121196747,0.0059471591375768185
25,finetune,1.9699345959933213e-06,2.9870298249255076e-05,0.7632300853729248,0.019362175837159157,0.015227869153022766,5e-05,0.005230532493442297,0.004129620268940926,0.006074288859963417,0.005029423628002405,0.006097000557929277,0.005382603965699673,0.006028425879776478
26,finetune,1.6421810749139779e-06,3.0398728094986482e-05,0.7570974230766296,0.019362175837159157,0.015677299350500107,5e-05,0.0054558697156608105,0.004068507347255945,0.00608193501830101,0.005226030945777893,0.006074964534491301,0.005442474037408829,0.005970324389636517
27,finetune,1.871325589464745e-06,2.9749627306906357e-05,0.7661246657371521,0.019362175837159157,0.015482334420084953,5e-05,0.0051709613762795925,0.0040764519944787025,0.0061238971538841724,0.005073399282991886,0.006017544772475958,0.005431396886706352,0.0059948875568807125
28,finetune,1.8229163925888701e-06,2.9671990549624232e-05,0.7736242413520813,0.019362175837159157,0.015713972970843315,5e-05,0.005048062186688185,0.004044210072606802,0.0061247688718140125,0.0051688808016479015,0.006001935340464115,0.005497153848409653,0.005949229001998901
29,finetune,1.8515253141858607e-06,2.9940283702215374e-05,0.7677936553955078,0.019362175837159157,0.015470226295292377,5e-05,0.0050300294533371925,0.004033875651657581,0.0061753885820508,0.00516275642439723,0.006261622067540884,0.005329135339707136,0.0059675429947674274
